Region,Population
Andalucía,"8,041,000"
Aragón,"1,313,000"
Asturias,"1,028,000"
Baleares,"1,167,000"
Cantabria,"581,294"
Castilla y León,"2,419,000"
Cataluña,"7,489,000"
Ceuta,"85,209"
Comunidad Valenciana,"4,946,000"
Extremadura,"1,070,000"
Galicia,"2,703,000"
Islas Canarias,"2,153,000"
La Rioja,"315,675"
Madrid,"6,055,000"
Melilla,"84,708"
Murcia,"1,476,000"
Navarra,"643,866"
País Vasco,"2,171,000"
Castilla La Mancha,"2,033,000"
Islas Baleares,"1,167,000"
Spain,"46,066,000"
